driver_id,total_fare,avg_distance
51,27.81,1.84
7,196.0,11.51
15,220.01,23.333333333333332
11,312.21999999999997,31.9075
29,20.88,28.98
42,143.01,36.87
73,105.87,46.205
64,78.6,45.66
3,119.42,2.77
34,20.14,35.23
59,64.9,5.98
8,333.17,19.6375
28,64.25,3.28
22,105.79,11.78
85,75.63,30.09
16,228.07,25.883333333333336
35,26.07,15.72
71,129.12,12.045
98,298.12,24.2775
47,25.66,7.43
96,133.86,36.53
43,26.41,45.27
5,52.95,40.3
18,54.69,31.27
27,146.51000000000002,19.56
61,88.56,25.84
75,42.82,27.64
26,67.63,44.88
46,224.76,23.35
78,315.05999999999995,20.169999999999998
77,71.4,12.89
89,34.769999999999996,42.72
6,230.26000000000002,38.6375
60,147.45,30.74
68,100.3,38.62
90,20.28,13.11
23,18.14,6.14
55,291.94,31.042500000000004
93,82.28,7.64
95,157.13,30.085
40,113.72,45.61
44,217.78,33.77333333333333
82,132.72,25.424999999999997
53,108.59,29.72
92,108.74,9.71
86,153.7,37.379999999999995
58,128.84,18.36
33,211.02,1.795
48,58.94,42.61
97,109.17999999999999,25.445
67,102.18,14.27
79,79.93,8.01
24,167.59,16.29
9,6.62,13.99
88,250.32,23.583333333333332
1,155.01,39.925
36,175.15,25.93
37,66.72,7.74
49,79.11,41.21
62,102.93,17.775
12,108.08,19.02
83,317.75,30.243333333333336
13,127.02,19.27
66,145.13,12.690000000000001
91,106.02,2.03
94,139.56,35.73
72,58.99,43.68
74,68.88,6.85
76,111.69,49.8
2,140.54,34.21
80,157.32999999999998,36.05
45,7.84,30.72
57,121.78,35.435
