driver_id,total_fare,avg_distance
51,27.81,1.84
7,277.14,17.315999999999995
54,196.14,14.405000000000001
15,235.26,27.447499999999998
11,312.21999999999997,31.9075
29,20.88,28.98
69,19.77,29.02
42,143.01,36.87
73,116.29,33.98333333333333
64,211.82,27.584999999999997
3,193.98000000000002,17.676666666666666
34,153.44,17.986666666666665
59,152.79000000000002,20.455
8,370.31,20.75
28,261.15,23.134999999999998
22,143.58,30.82
85,115.72999999999999,32.126666666666665
16,228.07,25.883333333333336
35,63.05,24.41
71,199.37,16.396666666666665
98,323.43,28.436
99,119.23,21.01
47,254.51,13.979999999999999
96,159.81,25.395
43,26.41,45.27
5,266.96,26.115
31,111.55,14.935
100,66.28,45.5
18,54.69,31.27
70,174.62,48.595
27,146.51000000000002,19.56
61,88.56,25.84
75,266.67,22.03
17,13.83,12.6
26,67.63,44.88
46,337.11,30.17
78,315.05999999999995,20.169999999999998
77,71.4,12.89
89,181.76,37.792500000000004
6,230.26000000000002,38.6375
60,178.04999999999998,32.985
68,100.3,38.62
90,133.49,13.93
19,22.61,29.49
23,122.94,18.11
41,85.11,18.97
55,383.4,34.004000000000005
93,82.28,7.64
95,252.51999999999998,32.306666666666665
38,70.07,25.94
40,126.67,46.7
25,151.94,19.925
44,217.78,33.77333333333333
82,236.86,28.26
53,108.59,29.72
92,206.56,19.636666666666667
86,162.97,32.25666666666667
58,128.84,18.36
33,331.45000000000005,14.719999999999999
48,164.07999999999998,26.12
97,431.18999999999994,27.654000000000003
67,102.18,14.27
84,102.37,7.06
79,135.62,7.8133333333333335
24,167.59,16.29
9,155.95000000000002,24.245
88,370.76,17.648
1,310.09999999999997,39.125
20,127.33,24.314999999999998
56,65.19,25.605
36,314.32,21.36
37,260.07,25.793333333333333
49,79.11,41.21
63,141.1,29.52333333333333
65,21.43,12.01
4,141.62,37.46333333333333
39,60.07,44.84
62,181.78000000000003,25.240000000000002
12,287.21,19.525000000000002
83,317.75,30.243333333333336
13,251.37,10.719999999999999
21,79.3,14.0
66,285.03999999999996,13.483333333333334
91,239.82,25.415
94,305.03,31.679999999999996
72,168.17000000000002,24.48
74,215.89,28.045
76,111.69,49.8
2,263.81,23.833333333333332
80,429.52,30.598000000000003
50,30.52,43.22
45,149.78,28.455
57,121.78,35.435
