driver_id,total_fare,avg_distance
51,278.21,17.863333333333333
7,277.14,17.315999999999995
54,196.14,14.405000000000001
15,328.52,24.387999999999998
11,364.93999999999994,34.21
29,80.21,37.81
69,19.77,29.02
42,143.01,36.87
87,241.54000000000002,27.630000000000003
73,116.29,33.98333333333333
64,211.82,27.584999999999997
3,193.98000000000002,17.676666666666666
34,153.44,17.986666666666665
59,245.35000000000002,15.873333333333333
8,370.31,20.75
28,261.15,23.134999999999998
22,143.58,30.82
85,115.72999999999999,32.126666666666665
16,335.8,26.6
35,63.05,24.41
71,382.25,13.707999999999998
98,323.43,28.436
99,199.28,26.19
47,388.09000000000003,20.5175
96,278.07,22.403333333333336
43,188.7,39.93666666666667
5,380.91999999999996,27.026
31,111.55,14.935
100,105.23,34.445
18,178.58,25.626666666666665
70,267.59000000000003,43.72
27,246.38000000000002,17.4925
61,88.56,25.84
75,266.67,22.03
17,13.83,12.6
26,332.62,33.84666666666667
46,464.85,31.125
78,388.92999999999995,24.33
77,71.4,12.89
89,190.29999999999998,37.958000000000006
6,230.26000000000002,38.6375
60,178.04999999999998,32.985
68,100.3,38.62
90,133.49,13.93
19,115.77,31.54
23,386.4,19.27
41,85.11,18.97
55,431.07,32.30833333333334
93,156.66,8.52
95,284.77,26.595
38,70.07,25.94
40,208.67000000000002,38.72666666666667
25,151.94,19.925
44,217.78,33.77333333333333
82,236.86,28.26
53,108.59,29.72
92,206.56,19.636666666666667
86,162.97,32.25666666666667
58,128.84,18.36
33,331.45000000000005,14.719999999999999
48,318.63,36.5675
97,431.18999999999994,27.654000000000003
67,102.18,14.27
84,102.37,7.06
79,135.62,7.8133333333333335
24,167.59,16.29
9,354.87,28.6475
32,104.24,11.62
88,370.76,17.648
1,369.23999999999995,31.459999999999997
20,127.33,24.314999999999998
56,135.86,28.296666666666667
36,314.32,21.36
37,297.38,20.884999999999998
49,79.11,41.21
63,225.3,22.792499999999997
65,157.5,15.559999999999999
4,215.87,39.435
39,197.71,34.373333333333335
62,220.29000000000002,28.28
12,287.21,19.525000000000002
83,421.37,24.1975
13,251.37,10.719999999999999
21,79.3,14.0
66,463.11,12.448
91,239.82,25.415
94,392.05999999999995,35.699999999999996
72,168.17000000000002,24.48
74,319.71999999999997,31.816666666666666
76,111.69,49.8
2,263.81,23.833333333333332
80,429.52,30.598000000000003
50,228.97,19.76
45,149.78,28.455
57,121.78,35.435
