driver_id,total_fare,avg_distance
7,190.8,16.2
15,155.1,16.89
11,90.47,29.6
42,143.01,36.87
73,105.87,46.205
34,20.14,35.23
8,298.74,22.75
85,75.63,30.09
98,96.91,18.62
47,25.66,7.43
96,133.86,36.53
18,54.69,31.27
75,42.82,27.64
26,67.63,44.88
78,57.78,26.29
77,71.4,12.89
89,27.11,42.86
6,147.81,32.855
68,100.3,38.62
23,18.14,6.14
55,22.4,28.35
95,157.13,30.085
53,108.59,29.72
92,108.74,9.71
86,65.76,34.28
33,84.26,1.81
48,58.94,42.61
24,118.44,23.46
88,210.4,10.69
62,70.5,27.59
83,129.18,38.46
13,127.02,19.27
66,121.49,20.69
94,139.56,35.73
72,58.99,43.68
80,36.17,34.3
57,90.5,48.43
