window_start,window_end,total_fare_in_window
2026-03-25T03:31:00.000-04:00,2026-03-25T03:36:00.000-04:00,1829.36
2026-03-25T03:32:00.000-04:00,2026-03-25T03:37:00.000-04:00,6500.48
2026-03-25T03:33:00.000-04:00,2026-03-25T03:38:00.000-04:00,11141.230000000001
2026-03-25T03:34:00.000-04:00,2026-03-25T03:39:00.000-04:00,14996.01
2026-03-25T03:35:00.000-04:00,2026-03-25T03:40:00.000-04:00,19272.979999999996
2026-03-25T03:36:00.000-04:00,2026-03-25T03:41:00.000-04:00,21884.36999999999
2026-03-25T03:37:00.000-04:00,2026-03-25T03:42:00.000-04:00,18949.3
2026-03-25T03:38:00.000-04:00,2026-03-25T03:43:00.000-04:00,14308.55
2026-03-25T03:39:00.000-04:00,2026-03-25T03:44:00.000-04:00,10453.77
2026-03-25T03:40:00.000-04:00,2026-03-25T03:45:00.000-04:00,6176.800000000001
2026-03-25T03:41:00.000-04:00,2026-03-25T03:46:00.000-04:00,1736.0500000000002
