window_start,window_end,total_fare_in_window
2026-03-25T03:31:00.000-04:00,2026-03-25T03:36:00.000-04:00,1829.36
2026-03-25T03:32:00.000-04:00,2026-03-25T03:37:00.000-04:00,6500.48
2026-03-25T03:33:00.000-04:00,2026-03-25T03:38:00.000-04:00,11141.230000000001
2026-03-25T03:34:00.000-04:00,2026-03-25T03:39:00.000-04:00,14996.01
2026-03-25T03:35:00.000-04:00,2026-03-25T03:40:00.000-04:00,19272.979999999996
2026-03-25T03:36:00.000-04:00,2026-03-25T03:41:00.000-04:00,21884.36999999999
2026-03-25T03:37:00.000-04:00,2026-03-25T03:42:00.000-04:00,21270.050000000003
2026-03-25T03:38:00.000-04:00,2026-03-25T03:43:00.000-04:00,22198.069999999992
2026-03-25T03:39:00.000-04:00,2026-03-25T03:44:00.000-04:00,20531.88
2026-03-25T03:40:00.000-04:00,2026-03-25T03:45:00.000-04:00,16254.910000000002
2026-03-25T03:41:00.000-04:00,2026-03-25T03:46:00.000-04:00,11814.159999999998
2026-03-25T03:42:00.000-04:00,2026-03-25T03:47:00.000-04:00,7757.3600000000015
2026-03-25T03:43:00.000-04:00,2026-03-25T03:48:00.000-04:00,2188.59
